# UTF-8 hex app_id<TAB>UTF-8 hex publisher_id<TAB>exact origin or - for rejection
6e6f746573	616c706861	https://notes.alpha.apps.hepta.invalid
6e6f746573	62657461	https://notes.beta.apps.hepta.invalid
63616c63756c61746f72	7472696c6c696f6e6e69756d	https://calculator.trillionnium.apps.hepta.invalid
61	62	https://a.b.apps.hepta.invalid
30	30	https://0.0.apps.hepta.invalid
612d62	632d64	https://a-b.c-d.apps.hepta.invalid
616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161	626262626262626262626262626262626262626262626262626262626262626262626262626262626262626262626262626262626262626262626262626262	https://aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb.apps.hepta.invalid
	7075626c6973686572	-
6e6f746573		-
5550504552	7075626c6973686572	-
6e6f746573	5550504552	-
612e62	7075626c6973686572	-
6e6f746573	612e62	-
612e2e62	7075626c6973686572	-
6e6f746573	612e2e62	-
2d61	7075626c6973686572	-
6e6f746573	2d61	-
612d	7075626c6973686572	-
6e6f746573	612d	-
615f62	7075626c6973686572	-
6e6f746573	615f62	-
612f62	7075626c6973686572	-
6e6f746573	612f62	-
613a62	7075626c6973686572	-
6e6f746573	613a62	-
614062	7075626c6973686572	-
6e6f746573	614062	-
612062	7075626c6973686572	-
6e6f746573	612062	-
610962	7075626c6973686572	-
6e6f746573	610962	-
610a62	7075626c6973686572	-
6e6f746573	610a62	-
610062	7075626c6973686572	-
6e6f746573	610062	-
c3a9	7075626c6973686572	-
6e6f746573	c3a9	-
d0b0	7075626c6973686572	-
6e6f746573	d0b0	-
efbd81	7075626c6973686572	-
6e6f746573	efbd81	-
61616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161	7075626c6973686572	-
6e6f746573	61616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161616161	-
